ID1,ID2
10992961,O00182
94214,O00182
119138,O00182
10992961,O00182
119138,O00182
94214,O00182
10992961,O00214
94214,O00214
119138,O00214
94214,O00214
10992961,O00214
119138,O00214
9829523,O00238
126565,O00238
44259,O00238
9809715,O00238
126565,O00238
9829523,O00238
24889392,O00238
216239,O00238
3038522,O00238
52945601,O00238
5329102,O00238
9813758,O00238
16038120,O00238
5328940,O00238
9869779,O00238
11617559,O00238
11667893,O00238
5494449,O00238
156422,O00238
10184653,O00238
24905147,O00238
11656518,O00238
10113978,O00238
6918852,O00238
10127622,O00238
9884685,O00238
24180719,O00238
11314340,O00238
9933475,O00238
3038522,O00238
123631,O00238
91448975,O00238
156414,O00238
17755052,O00238
9886808,O00238
16187854,O00238
25126798,O00238
216239,O00238
176167,O00238
153999,O00238
15983966,O00238
11712649,O00238
3025986,O00238
10461815,O00238
11409972,O00238
9915743,O00238
447077,O00238
3062316,O00238
24889392,O00238
10427712,O00238
16722836,O00238
176870,O00238
11234052,O00238
11427553,O00238
16725726,O00238
176155,O00238
3038525,O00238
11213558,O00238
25182616,O00238
9929127,O00238
5291,O00238
151194,O00238
3081361,O00238
11485656,O00238
208908,O00238
5329102,O00238
5287969,O00238
11676971,O00238
11364421,O00238
10138259,O00238
11338033,O00238
57399640,O00238
6450551,O00238
16007391,O00238
9926791,O00238
10074640,O00238
11626560,O00238
6918454,O00238
644241,O00238
101043861,O00257
132271619,O00329
132271620,O00329
121426320,O00329
121426321,O00329
121426376,O00329
121426388,O00329
121426215,O00329
121426215,O00329
121426215,O00329
121426215,O00329
121426350,O00329
136215711,O00329
136215711,O00329
136215714,O00329
136215714,O00329
121426247,O00329
121426239,O00329
121426223,O00329
121426223,O00329
121426227,O00329
132271625,O00329
132271625,O00329
121426234,O00329
121426234,O00329
121426234,O00329
132271628,O00329
132271628,O00329
121426387,O00329
121426387,O00329
126565,O00329
9829523,O00329
44259,O00329
9829523,O00329
126565,O00329
9809715,O00329
132271625,O00329
132271619,O00329
121426321,O00329
132271620,O00329
121426320,O00329
121426239,O00329
132271625,O00329
121426388,O00329
121426247,O00329
121426350,O00329
121426376,O00329
121426227,O00329
24889392,O00329
3038522,O00329
216239,O00329
52945601,O00329
5329102,O00329
10074640,O00329
11427553,O00329
11314340,O00329
11626560,O00329
11213558,O00329
3081361,O00329
156422,O00329
25182616,O00329
176167,O00329
16725726,O00329
5291,O00329
6918454,O00329
